id,name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,sideEffect33,sideEffect34,sideEffect35,sideEffect36,sideEffect37,sideEffect38,sideEffect39,sideEffect40,sideEffect41,use0,use1,use2,use3,use4,Chemical Class,Habit Forming,Therapeutic Class,Action Class
216265,trupred 1% eye drop,Renisol Eye Drop,Predace 1% Eye Drop,Pcort Eye Drop,Preds Eye Drop,Prednisafe Eye Drop,Burning sensation,Eye irritation,Watery eyes,Blurred vision,Reduction in bone density,Upset stomach,Behavioral changes,Mood changes,Weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Redness and swelling in the eye,Treatment of Severe allergic reactions,Treatment of Allergic conditions,Treatment of Rheumatic disorder,Treatment of Skin disorders,Glucocorticoids,No,OPHTHAL OTOLOGICALS,Glucocorticoids
216305,trioplast dental paste,Excort Buccal 0.1% Paste,Gingicort Buccal Paste,Tilone OP Oral Paste,,,Application site irritation,Increased risk of infection,Headache,Joint pain,"Injection site reactions (pain, swelling, redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Mouth ulcers,,,,,Glucocorticoids,No,DERMA,Glucocorticoids
216307,tamtero 20mg tablet,Moxifen 20mg Tablet,Caditam 20mg Tablet,Cytotam 20 Tablet,Tamoxilon 20mg Tablet,Camofen 20mg Tablet,Hot flashes,Nausea,Vaginal discharge,Vaginal bleeding,Mood swings,Fluid retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Breast cancer,,,,,Nonsteroidal Antiestrogen,No,ANTI NEOPLASTICS,Selective estrogen receptor modulators (SERM)- Breast Cx
216335,tadox 5 tablet,Tafil Tablet,Ttab 5mg Tablet,Tadablis 5mg Tablet,Fulflo Tablet,Xtafil Tablet,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Blurred vision,Muscle pain,Upset stomach,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Erectile dysfunction,,,,,Carboline Derivative,No,SEX STIMULANTS REJUVENATORS,Phosphodiesterase-V inhibitors
216346,tezcort cream,Topinate Cream,Lozivate Cream,Cortent Cream,Cortirate Cream,Cosvate Cream,Skin atrophy,Telangiectasia,Skin irritation,Dry skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Allergic skin conditions,,,,,"Gluco/mineralocorticoids, progestogins and derivatives",No,DERMA,Glucocorticoids
216384,target plus tablet,,,,,,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Stiffness,Nosebleeds,Blurred vision,Indigestion,Muscle pain,Upset stomach,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Erectile dysfunction,,,,,Benzenesulfonamide Derivative,No,SEX STIMULANTS REJUVENATORS,Phosphodiesterase-V inhibitors
216395,t-film 20mg disintegrating strip,ED Save 20 Orally Disintegrating Strip,Extadil 20 Disintegrating Strip,Tadasure 20 Disintegrating Strip,Tfl 20 Orally Disintegrating Strip,Amne-Tad 20mg Orally Disintegrating Strip,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Blurred vision,Muscle pain,Upset stomach,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Erectile dysfunction,,,,,Carboline Derivative,No,SEX STIMULANTS REJUVENATORS,Phosphodiesterase-V inhibitors
216410,testoki tablet,,,,,,Diarrhea,Stomach discomfort,Increased sweating,"Injection site reactions (pain, swelling, redness)",Acne,Voice change,Breast enlargement in male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Male hypogonadism,,,,,Androgens Derivative,No,SEX STIMULANTS REJUVENATORS,Androgens
216412,tadaflo 20mg tablet,Tada 20mg Tablet,Tadact 20 Tablet,Tadovas 20mg Tablet,Bigfun 36 Tablet,Upwardz 20mg Tablet,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Blurred vision,Muscle pain,Upset stomach,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Erectile dysfunction,,,,,Carboline Derivative,No,SEX STIMULANTS REJUVENATORS,Phosphodiesterase-V inhibitors
216422,tafil tablet,Ttab 5mg Tablet,Tadablis 5mg Tablet,Fulflo Tablet,Xtafil Tablet,Tadgo 5 Tablet,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Blurred vision,Muscle pain,Upset stomach,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Erectile dysfunction,,,,,Carboline Derivative,No,SEX STIMULANTS REJUVENATORS,Phosphodiesterase-V inhibitors
216434,tadmax 20mg tablet,Tada 20mg Tablet,Tadact 20 Tablet,Tadovas 20mg Tablet,Bigfun 36 Tablet,Xyorg 20mg Tablet,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Blurred vision,Muscle pain,Upset stomach,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Erectile dysfunction,,,,,Carboline Derivative,No,SEX STIMULANTS REJUVENATORS,Phosphodiesterase-V inhibitors
